Country,Category,Flow name,Flow code,Flow unit,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
United States of America,Biomass, Domestic Extraction  ,DE,t,388193477.3,393643657.1,409109442.5,390890007.1,398872085.9,434924136.8,442392248,466740482.7,485365717.9,513322869.4,527837826.8,486560534.6,555585896.9,547739514.6,593570571.8,600257996.3,594087793,582650673.8,646945514.8,662817325.3,598853245.2,692588897.3,640001070.7,627143877.3,601983962.5,687166654.2,690540306.8,669910164.2,696583853.3,728778472.1,766261415.6,702713603.1,811790766.6,785328479.5,807164547.1,839035042.4,857507121.2,802926172.4,790193187,814987253.1,830414753.3,786760535.2,858782277.5,784554841.9,822198894.3,870924118.7,809690856.9,865814836,851887499.7,855191238.9,895848659.7,892364722.2,890507922.8,905410363.9,842123615,878578594.6,841177942.2,838751719.4,855807328.6,830554264.5,783302530,809705414.8,834629434.6,758944651.3,663279529.5,786011689.5,689413053.8,840605324.4,816159496.5,816105765.4,834294980.9,883289048.6,940879376.5,906483779,935839201.3,914000084.3,952658627.4,873578501.6,990058145.3,910452105,914623572.3,905090835.5,966748892.8,966817986.5,958469797.4,982423704.4,1000949398,971769477.8,1032767748,1058973938,1068886081,1029258918,1041067175,1091093600,1084250694,1158098085,1172386297,1230345166,1244681054,1258591029,1234074322,1363117669,1365518753,1413980770,1348127234,1467251850,1475772167,1503562496,1530823767,1598452263,1494020397,1648076228,1664549552,1396121999,1641321195,1700592849,1636501924,1567349306,1389440570,1552508278,1615489892,1558129811,1707147386,1513594577,1754578989,1584883496,1701333526,1719189414,1744202664,1712459823,1729278326,1674447440,1617042438,1690994780,1797504617,1761815805
United States of America,Fossil fuels, Domestic Extraction  ,DE,t,37386545.57,39095859.85,48062991.41,53255040.78,51375114.99,52249314.31,50781272.21,56281354.5,54803644.89,66779803.18,75606770.82,79837685.57,89431295.5,96906395.5,102069466.7,102849774.8,106934984.1,122356502.7,138600068.4,132892738.7,149347315.9,160293298.4,169541040.6,171998706.5,161591128.3,182370001,182444417.2,189855722.1,207069127.7,237925859.3,256179044.6,279563325.9,290314834.4,343235969,340887420.2,381827450.3,401703636.2,467571381.4,410644575.2,453860208.9,495089142.5,491942423.9,527937538.2,564049032.6,515463949.9,534800372.6,593340515.3,654648157.8,680107685.6,570995848.4,675910933.3,538989487.2,526260889.5,719875501.6,642190679.1,659389760.9,732078088.8,698527613.8,681662719.9,733841636.3,654325239.1,555775135.5,469353985.6,507262973.5,542811759.3,565600177.4,648173116.1,681644593.1,577009543,634887290,711161071.3,774329815.7,843661270,875331550,935073128.5,899093114,869828584.2,981025411.2,987840213.6,809984269.9,919861936.9,998387908.8,954243210.6,954707917,977489326.6,997334940.3,1066105316,1068998561,975644594.8,1016844781,1035726160,1038411740,1086642640,1141332920,1186819460,1228102000,1296598660,1388908740,1425241100,1456248100,1545460740,1506848000,1542286480,1524650300,1491554160,1475147900,1489150440,1506627220,1501451020,1607152940,1654395660,1643196380,1626523000,1540540640,1684548180,1654909080,1635244560,1657696540,1688625000,1693479560,1736083720,1702686520,1701172920,1643444960,1729397120,1720170280,1751570020,1773909160,1790175200,1752109160,1734610100,1790665480,1743069200,1718561100,1734325600,1725673720
United States of America,Metal ores, Domestic Extraction  ,DE,t,6018663.83,6257583.296,6823863.813,8585057.475,9579148.846,10486279.45,11529468.64,13820879.15,15325801.78,16248580.04,17588940.46,19549289.13,23345779.35,24216460.29,24287286.36,23282803.24,25843996.4,29064669.36,31431859.95,34344331.09,35633012.8,38119038.56,40881265.38,34842336.54,35208039.26,40864902.99,44324685.37,48951431.7,52414849.25,58757869.97,78768253.86,80893384.55,88917572.96,89421057.05,88718542.18,105403814,115855689.5,122661721.8,110107396.8,133323350.2,142839171,132170917.6,147503987.1,156114351,140626146.5,162283439.1,201582161.9,217202284.7,214127596.7,171725681.3,180974778.1,108628233.6,145771794.3,199852103.3,197296677.4,210298970.2,224467482.6,216376023.5,225350624.2,244487551.9,198107491,128222996.8,64068875.23,74734748.46,91556528.34,110424767.3,153751650.4,204749616.3,131822993.7,182670045.4,236920708.4,271731363.7,301040151,296554509.7,279531835,267310098.2,208531347.7,277569423.1,284221909.1,258824766.5,301026315.3,311666659.9,290611758.1,333966010.9,282007731.6,322192861.8,329171896.9,331272583.9,275804478.6,232100750.2,301888159.8,314213152.1,320360060.2,326719434.8,356032638.9,370313661.6,383221013,300843736.2,361324266.6,424692415.4,440048098,409502431.5,458621231.4,482709168.7,452999825.8,415141844.4,436439773.6,399224970.8,443983321.4,463657496.1,380607302.9,442539918.1,340807744.8,338948740,334800305.5,319190798.2,298564358.4,320454237.8,385909821.3,401439964.5,419029415.4,413762306.8,435008328.7,453279650.4,467247450.8,491764011.2,503526814.8,518595223.3,531255014.8,476923238.9,419242807.9,407243928.2,371737978.2,329127286.5,327536578.3,316537446.5
United States of America,Non-metallic minerals, Domestic Extraction  ,DE,t,21654586.74,22215147.78,22776251.46,23337355.15,23898458.84,24459019.88,25020123.56,25581227.25,26141788.29,26702891.98,27274848.73,27863080.5,29370884.46,30799164.42,31395289.39,32202601.35,33407484.11,35799177.08,36269881.04,36890573,39762704.43,42781400.46,45007058.89,47152967.32,49252599.15,52166356.38,53990230.62,57702907.45,60378534.03,66518521.21,64844203,73381861.8,88526777.6,86448418.4,98958334.2,116284051,139058098.8,149097468.6,139439870.4,166561332.2,189045889,192379175.8,206198243.6,227994107.4,214661727.2,226786469.7,234954303.3,232884220,191794733.7,198337319.3,246670962,218379988.7,271551968.3,325127256,361983808.7,393708823.3,403931400,429766216.7,435172533.3,446470990,416478666.7,349930407.3,257940808,242101544.7,285684885.3,287099920,405882296.7,425203023.3,409147560,465820976.7,488106746,600605627.3,633558320,546430574.7,488359293.3,502368360,646240318.7,738084631.3,787483526,780794672.7,879935633.3,971371470,1014480859,1042132339,1180316090,1325800467,1418195423,1395968680,1434619437,1553353014,1533897020,1501432727,1578388194,1711015701,1814654981,1927074361,2017085501,1967301842,2074668402,2136258203,2183391403,2263913903,2341406303,2548338903,2506778504,2139885804,2141076405,2285154262,2513551706,2541576208,2236293510,2006882011,1832604211,2029946814,2245159115,2362835415,2389022216,2618571917,2679500117,2602581418,2640966118,2439084018,2475262319,2635018221,2813290121,2880421513,2940343673,3106436015,3263787988,3357418832,3406710910,3357452500,3287114064,3292328947,3542130250,3651664351
United States of America,Biomass, Imports ,IMP,t,723309.95,975855.75,944972.4,1008707.65,999773.7,843415.25,938850.15,941344.4,1015782.25,1096414.55,1214887.25,1219059.45,1314131.55,1620256.7,1648371.2,1611709.9,1856610.05,1668824.05,1631957,1787117.85,1949921,2079962.95,2212592.35,2384380.8,2112035.4,2368849.1,2867020.65,1749959.2,2419953.55,1815050.748,1813254.707,1875977.732,2531520.804,2018362.861,2189788.888,2462817.01,2712190.126,3346663.272,3724393.568,3905173.676,4556086.944,4139395.488,4536603.898,4652163.302,6595345.218,8011475.354,8510458.906,8615717.606,8837208.138,9579360.102,10759940.83,9402722.258,13539274.61,13541226.71,13444535.84,15167134.12,16325449.15,15782103.88,15901139.88,17120378.97,16507765.19,13457882.97,13714359.31,14595529.58,14889663.57,16528090.81,18904066.96,20970899.27,17095667.1,18204467.98,16083058.69,20633139.25,16738252.45,16314763.36,16888082.86,18575999.57,20859303.79,23805878.95,26288342.63,24497295.3,34873310.7,34594548,33851034.12,34459458.27,32648947.41,35438331.59,37367614.19,33812403.5,35028228.7,37465167.05,36031083.79,28500139.93,30065434.68,30245884.91,30361438.32,30425485.6,32793194.34,33313615.02,36223349.93,36073872.93,36715446.34,38855976.55,42515994.34,42769574.84,39876723.29,33213073.14,39861585.85,43585588.83,45559091.26,45514159.3,41630961.38,42917141.43,40770609.29,47223909.22,53041276.75,56487707.61,57161492.1,59101123.04,58299947.88,61193814.46,59616505.54,57274229.5,61873533.22,67269676.35,74193169.36,74414283.74,78904948.77,86008843.1,87423970.71,92946074.65,95586015.79,96888633.26,101303882.1,103426300.5,103778427.5,104687813.5
United States of America,Fossil fuels,Imports,IMP,t,453500,453500,453500,453500,544200,453500,362800,544200,544200,453500,453500,634900,816300,634900,725600,816300,816300,816300,1088400,997700,907000,1088400,1451200,1179100,1269800,1451200,1360500,1269800,1269800,1269800,1723300,1995400,2176800,3809400,2086100,1541900,1821610,1731230,2003490,1287875.9,1717087.2,2055372.7,2375120.6,4069946,3715064,4017017,4435704,5565914,6679389,8389375,15955240,18773960,23357780,15596909,13359132,11580414,12281081,10441329,13344192,15823530,15335420,12525057,10943865,6863498,7561585,7948162,8671127,8514064,8012191,8765667,11901006,13736164,5498220,9606758,13189851,16070180,19258160,22027130,25992260,32541420,42659800,42405060,47880860,51910260,52766480,62664820,72318420,78999550,85201870,89263300,96286500,101182560,112629540,118876700,127023820,142159540,150294920,143656360,160841660,178565660,193818400,220627480,263095100,334807840,327863060,340474140,400272280,482682140,459939060,460303540,369967720,321923180,281131780,278112340,294859200,279200960,333337460,360962460,403054640,436021440,439276740,428452340,456125780,500659940,525297380,520707780,556306960,595705780,626717480,642660560,682267520,712915720,695933700,738594420,797271160,822045360
United States of America,Metal ores,Imports,IMP,t,169576.94,196844.417,296866.791,285915.437,164409.384,122094.857,106126.1,109481.551,93696.806,385233.433,1290845.07,1231339.659,1125579.49,962369.21,802758.93,568323.194,1343408.19,1657511.89,951133.32,1067325.5,1475049.8,1062722.53,991866.49,707935.55,258042.69,661603.43,846412.3,681565.52,388657.41,977561.64,1250833.98,1276247.559,2089715.74,1945229.33,1279489.803,1697213.467,1848776.094,2028979.349,1417453.537,2339460.38,3468005.076,2550929.45,2847271,3532232.851,2213995.49,2048480.332,2173709.76,1851595.2,1464956.47,1245247.82,2348007.63,863809.252,2280193.357,4011274.987,3302423.551,3854596.415,4324053.938,3955287.67,3811877.971,4700082.458,4295694.53,2643648.023,1417555.196,1742960.773,2353840.84,2734276.511,4059369.211,4582188.04,3574773.151,4211820.32,4821937.73,5095461.214,3842745.398,4120933.123,3127170.207,4456354.971,5445076.785,8725313.027,11754904.87,13852106.86,16205565.06,18905606.05,18244166.3,21971009.51,25306983.28,33470651.82,42186172.88,47241042.1,41327917.57,53209932.54,50842292.52,42118608.87,52364223.71,52501801.6,63983155.27,72116950.01,75090442.61,73895164.8,79692472.86,74053402.31,78575511.81,78350642.5,73429024.89,79873348.79,86915221.88,78434678,80374188.69,78837190.52,78502047.19,74131141.15,64233157.52,70299145.08,48338023.04,46638559.08,62218789.48,56660575.16,54592818.74,56132613.51,62294292.09,58635145.03,58123987.83,51656285.97,52355090.64,58165642.97,72769837.63,68492370.28,74648091.77,77949736.27,89422173.21,81409469.61,83631064.11,70684621.27,73632660.48,64755121.35,81493701.93,82038641.5
United States of America,Non-metallic minerals,Imports,IMP,t,28448,36576,25400,46736,41656,40640,47752,44704,65868,89236,558968,628846,559792,575658,650564.4,638322.6,670653.6,717667.6,719714.4,714228.6,771390.2,922393.2,826310,827350,877826.4,995394.6,996318.4,820358.4,653370.8,913862,1499637.197,1384262.209,1659755.734,1547167.257,1451975.308,1608982.91,1877920.53,1838254.445,1392580.433,1617431.353,1990193.306,2005638.192,2038446.534,2003125.378,1890972.479,1470816.714,1593165.562,1298176.78,1232508.7,1472847.276,2708754.736,1677962.82,2006274.351,2444078.444,2781663.422,3136777.837,3826204.688,3286301.363,3658239.068,4580285.961,4250046.974,2263099.915,1374959.837,1392902.579,1362103.156,1746681.926,2443387.751,3223953.083,2632289.729,2849792.867,2720724.101,2554683.364,1712041.764,1455510.006,1503379.582,1779620.02,2736412.034,3904366.55,4735824.114,4217130.486,5752096.009,6156555.855,5702866.462,6159670.681,6131133.085,7869976.207,8689902.286,9687109.48,8867934.147,12250170.55,11571291.73,11037272.89,12912896.51,13418162.75,16019675.88,16776537.5,17207457.15,17300300.86,20678955.62,21719323.19,22720489.75,22104691.81,25522575.56,26536168.86,28574568.04,22783428.11,25081491.78,28501456.55,33965439.01,35852801.83,33596587.23,31311601.6,28372669.06,31252416.73,39537288.7,41300075.1,42596213.7,44509074.8,47715744.9,46950658.9,46885466.1,42797921,42396627,44289460,55732526,56738395,61863812,67574885,73221443,78215764,81905056,86190423,82268411,89827082,102658296,117166053
United States of America,Biomass,Exports,EXP,t,2943143.2,3333608.9,3592689.8,4943603.7,4010600.75,5224974.65,5131670.8,6925251,8826499.85,10421473.25,9742570.45,5812984,7582167.55,5799510.4,7104848.1,6286170.65,7304876.2,6200071.55,6811794.75,8370648.1,6385774.35,11247722.25,9231286.8,8457044.65,7949353.9,9454055.65,12791043.3,15552804.2,15721587.65,14308629.1,13788744.15,9886790.6,11209716.05,7795159.95,7602703.5,9467363.45,10502873.15,8854127.75,7456434.65,6042737.65,6577040.8,6812765.95,8460966.65,7384908.6,13567981.8,11028187.45,10058379.15,7694275.5,11746265.45,10374351.3,16562882,16015612.35,10636996.9,7926806.6,10569442.75,6689609.4,10269965.05,9154791.6,8930341.85,7293316,6364126.05,6885046.5,4236283.4,3740338.25,2458459.1,2476129.35,2366162.4,9409798.1,5891060.15,5366331.7,2505645.05,2930298.6,2994136.35,4204671.8,4932417.65,12242544.95,16932683.65,15511012.05,21045923.8,15901897.95,20068205.6,23087422.28,19832164.66,15560967.08,18268062.34,23120616.56,33083961.1,28563517.41,30018084.33,35056105.95,41829305.61,46106240.41,49663506.17,54795313.43,61415860.65,63281870.03,72393925.76,65069497.39,66637498.28,61190704.99,75669943.35,69599145.05,89837118.96,123935148.3,108792018.8,113987012.9,127687741.5,123833584.6,148104642.6,161749940.6,177170803.2,174752764.5,163195976,158952891.6,162259266.5,136869622.3,123732453.2,150047748.5,173209838.7,179502995.2,168218263.2,164805382.6,172188752.7,164318125.7,159133821,194804555.8,183883021.2,171179340.6,167883166.2,181057503.3,186042361.5,182608597.5,180001467.1,182678822.8,188452265.8,186419360.8
United States of America,Fossil fuels,Exports,EXP,t,617784,763032,917158,1412209,1489272,1307872,1494031,1989082,1857471,1998600,1676071,2298614,2543440,2729599,3042610,3187858,3101917,3491991,3759332,4023194,4245505,4540120,5044049,5792804,6573592,6777507,6519044,7041369,7286195,8342562,10460695,11395609,9799161,10378873,12179876,13147463,13778244,16064140,18088734,17340619,18809575,21650469,24929946,27534892,27418198,28507238,32232617,35919924,34124960,31466106,50672352,34978692,23737291,37945240,35092990,34321080,53645940,38683640,38823850,41093910,37962520,29517180,23206810,23661590,26611580,27840830,29156940,37197010,37702580,38653330,35142500,36723030,40716390,47574800,55756360,53707610,64128510,92385080,66118150,46023300,41802870,77869880,68891860,53151890,48384700,67705080,88255990,101423490,61481570,45887127,45331240,42581160,45813240,57283340,56434620,56889180,58164680,64352640,61889800,67346420,83716320,67821620,66829200,64248880,70378820,74196140,68444300,65155300,54239400,79836800,104065200,124779820,131822860,104227760,106706920,118717780,116056040,109553980,126441640,135193040,140535100,150299300,143981140,119622480,114465540,129661020,135891500,133422660,127010580,106980260,114542840,105627620,101640840,111180200,125191340,130505300
