"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Brazil","Biomass","Domestic Extraction","DE","t","664037674","680755198","708381537","726384753","765384820","777910091","843532070","901140588","891160737","934772082","1020355025","1047117960","1106207441","1142411103","1187153975","1254768437","1247033642","1340706521","1338842378","1371950853","1360109861","1385612521","1444335743","1406154087","1517986196","1567889522","1527839149","1588653555","1613129921","1636618402","1653169368","1745285310","1810163370","1986309921","2030692890","2024906340","2130386785","2278512632","2477340889","2517191180","2623697480","2704641154","2703682129","2841356792","2810330300","2875594491","2845967767","2973847201","2920554225","2986307414","3036923269","2968212743","2968205762","2969103226","2980510789"
"Brazil","Biomass","Domestic Material Consumption","DMC","t","659174913","675416100","701556825","719149216","756732903","767422438","833078609","888412773","884945883","928725784","1010639509","1033203598","1094577605","1126742330","1172251816","1237369740","1237222472","1324549197","1319789819","1350678712","1341668421","1373446951","1426845607","1387396585","1498013680","1547168766","1509177331","1563729080","1586761633","1602391901","1625572217","1696343737","1758287186","1925909574","1959207655","1951085182","2053450959","2196162279","2397187647","2425553603","2523838746","2601405221","2593437373","2712535357","2683674273","2724185105","2703542751","2803812312","2740755514","2800696103","2833750497","2779211721","2776076764","2773650108","2781730488"
"Brazil","Biomass","Domestic Material Input","DMI","t","666584139","683200497","711123250","730378025","769254049","781045183","848115465","904982490","898191858","942390931","1028849862","1054561786","1112874979","1148171417","1193620488","1260787496","1255262143","1346247265","1341426358","1375289677","1364799378","1394346570","1452429875","1416718520","1531309294","1582220767","1542909801","1602479965","1628612684","1649851322","1668179718","1758099140","1822138156","1999610603","2040628665","2035166988","2142733864","2292099862","2490135253","2529562017","2637264104","2717776050","2717884042","2856451234","2823781992","2887057475","2862651060","2987386276","2934003785","3000532161","3051451954","2984416569","2984394689","2985277962","2996726192"
"Brazil","Biomass","Exports","EXP","t","7409226","7784397","9566425","11228809","12521146","13622745","15036856","16569717","13245975","13665147","18210353","21358188","18297374","21429087","21368672","23417756","18039671","21698068","21636539","24610965","23130957","20899619","25584269","29321935","33295614","35052001","33732470","38750885","41851051","47459421","42607500","61755402","63850970","73701029","81421009","84081805","89282906","95937584","92947606","104008414","113425358","116370829","124446668","143915877","140107719","162872369","159108309","183573964","193248270","199836058","217701457","205204848","208317925","211627853","214995704"
"Brazil","Biomass","Imports","IMP","t","2546465","2445299","2741713","3993272","3869229","3135092","4583395","3841902","7031121","7618849","8494837","7443826","6667538","5760314","6466513","6019059","8228501","5540744","2583980","3338824","4689518","8734049","8094132","10564434","13323099","14331245","15070652","13826410","15482763","13232920","15010350","12813830","11974786","13300682","9935775","10260647","12347079","13587231","12794364","12370838","13566624","13134896","14201913","15094441","13451692","11462984","16683293","13539075","13449559","14224747","14528685","16203826","16188927","16174736","16215403"
"Brazil","Biomass","Material Footprint (RMC)","MF","t","591597420","606285394","636826373","660038626","698579550","713053129","777034178","831018045","821167458","855668551","921016437","960703930","1022351335","1035665282","1075737001","1137960901","1131386609","1209042568","1209150980","1257379034","1248790859","1264198697","1276662828","1223907048","1316394264","1354317235","1319142846","1362371473","1369848987","1343636011","1353945812","1404367497","1476523298","1594711605","1645029874","1658415489","1767990965","1946683068","2130101347","2154865977","2296289234","2377803432","2341464759","2437091008","2402872282","2347528887","2409680750","2417627251","2346277911","2398673621","2418719463","2304567969","2309835690","2311713667","2318422423"
"Brazil","Biomass","Physical Trade Balance","PTB","t","-4862761","-5339098","-6824712","-7235537","-8651917","-10487653","-10453461","-12727815","-6214854","-6046298","-9715516","-13914362","-11629836","-15668773","-14902159","-17398697","-9811170","-16157324","-19052559","-21272141","-18441440","-12165570","-17490136","-18757502","-19972515","-20720756","-18661818","-24924475","-26368288","-34226501","-27597150","-48941572","-51876184","-60400347","-71485234","-73821158","-76935826","-82350353","-80153242","-91637577","-99858734","-103235933","-110244756","-128821435","-126656026","-151409386","-142425016","-170034889","-179798711","-185611311","-203172772","-189001022","-192128999","-195453117","-198780302"
"Brazil","Biomass","Raw Material Equivalents of exports","RME_EXP","t","83443869","85495588","83800338","80240002","81511150","81122285","83835750","87669013","87477648","95869359","114301800","103724810","102883362","123003520","128094211","134311313","133588720","149715067","148287782","136666454","128981784","146025378","188210349","205021651","230860949","255021585","247318585","268774690","286410419","329796778","337265185","376877886","370974235","423478258","422940645","407941440","403279319","379166992","407982948","418827229","394448534","408333219","452541722","498664029","491579341","595553468","501675102","618455728","643905777","660597341","684620763","736790356","683051332","673133096","676147837"
"Brazil","Biomass","Raw Material Equivalents of imports","RME_IMP","t","11003614","11025783","12245173","13893875","14705880","16265322","17337859","17546469","17484368","16765827","14963211","17310779","19027257","16257698","16677236","17503775","17941687","18051113","18596383","22094634","17662781","24611553","20537433","22774612","29269016","41449297","38622281","42492607","43129484","36814386","38041629","35960073","37334162","31879940","37277628","41450587","40883498","47337426","60743404","56502025","67040286","81495495","90324351","94398243","84121321","67487863","65388083","62235777","69629461","72963546","66416956","73145581","75543055","77260471","78047220"
"Brazil","Fossil fuels","Domestic Extraction","DE","t","10736916","11085882","10974224","10953744","12391972","11678056","12262106","12637828","13318394","14069196","15200112","17205572","20466938","24871546","32736356","37524008","38980162","38458218","38443860","39895054","39561980","39732562","39947646","32126980","34036638","35364754","39040470","43580906","49849152","56862994","65843934","67675384","76016128","78603486","79596540","89516710","93802390","96109910","102747044","107389526","114312258","118878778","120219476","121801658","135661810","145902098","157554122","163491684","159994453","171308875","178210079","183778348","183856734","183777688","183966034"
